Country Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Greenland;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69520026,67;88466738,25;106101297,8;140153748,2;169918948,6;211190630,3;240779417,8;282269749,2;355987433,4;420645821,5;476051740,8;435748993,4;402403041;416184071;379371901,5;412876382,8;603016292,7;787390409;898607670,6;929799902,2;1018977280;1016500069;1037916163;927214151,8;1005887539;1208953287;1197515569;1072154434;1149858070;1131555107;1068025016;1086170704;1169136716;1558759823;1822499769;1849802648;2013106930;2249811296;2499092314;2529963903;2503167187;2684461375;2609678486;2684946990;2842065708;2499113023;2707139544;2851613679;3055782146;2997309972;3082884653;3235809504;NA;NA;NA
Denmark;6.361.166.544,5035;7.058.361.229,3542;7.953.274.741,2930;8.466.044.979,8800;9.677.401.337,1731;10.870.670.865,3211;11.931.740.293,0378;13.059.064.805,8774;13.505.574.133,3333;15.414.902.666,6667;17075457733;19086192720;23230667549;30718181337;34125712481;40418967666;44503607444;49711709588;60320089218;70393030603;70811287816;61459941461;60084214872;60331158447;58868891335;62452421011;87748695217;1,09183E+11;1,1554E+11;1,12312E+11;1,38218E+11;1,39181E+11;1,52966E+11;1,43111E+11;1,56018E+11;1,84848E+11;1,87481E+11;1,73241E+11;1,76877E+11;1,77888E+11;1,64044E+11;1,64882E+11;1,78788E+11;2,18421E+11;2,51986E+11;2,6515E+11;2,83386E+11;3,20213E+11;3,54979E+11;3,22619E+11;3,22346E+11;3,44316E+11;3,26793E+11;3,44631E+11;3,52833E+11;3,01759E+11;3,12182E+11;3,31611E+11;3,55293E+11;3,45401E+11;3,55631E+11;4,08378E+11;401.945.576.107,9630;407.091.920.305,4040;NA
Iceland;252.169.712,0421;257.703.244,5600;289.200.704,3825;345.175.036,0906;440.797.869,2823;531.569.563,8886;638.349.755,2219;630.567.115,7907;481.532.847,5906;420.945.147,6310;526704545,5;670251136,4;839652164,1;1154440253;1515190595;1406875081;1669488390;2208509076;2511826196;2853435054;3381419251;3492997010;3206626645;2765950336;2864441387;2984052357;3989622739;5520318405;6106635816;5672569449;6468736356;6909730288;7080981738;6218581532;6389460343;7123633418;7426082271;7569672925;8503693099;8982047589;9025660362;8234846805;9318395055;11429333038;13825302536;16852963067;17465318552;21652505597;18074622987;13154414219;13751161918;15221622926;14751508134;16125060515;17867662178;17517210519;20793168031;24728285177;26260850582;24681343649;21629953194;25825287184;28.770.206.626,5564;31.325.116.556,3807;NA
Norway;5.197.398.721,4137;5.669.689.210,3186;6.107.076.928,6337;6.553.269.535,5101;7.206.522.121,8042;8.111.945.661,2162;8.753.940.266,9018;9.577.383.653,1830;10.227.087.165,2414;11.136.187.439,8326;12814123115;14583114840;17358610850;22534253703;27145693810;32877805200;35942270686;41508030431;46522900254;53132244624;64439382896;63596654761;62647195538;61627240831;62057955033;65416879914;78693118044;94229907236;1,019E+11;1,02634E+11;1,19792E+11;1,21872E+11;1,30838E+11;1,20579E+11;1,27131E+11;1,5203E+11;1,6352E+11;1,61357E+11;1,5423E+11;1,62384E+11;1,71457E+11;1,74239E+11;1,95915E+11;2,29385E+11;2,65269E+11;3,09979E+11;3,46915E+11;4,02643E+11;4,64918E+11;3,87976E+11;4,31052E+11;5,01361E+11;5,12777E+11;5,26014E+11;5,01736E+11;3,8816E+11;3,70957E+11;4,01745E+11;4,39789E+11;4,08743E+11;3,67633E+11;5,03368E+11;593.726.965.415,6190;485.310.823.603,6620;NA
Faroe Islands;NA;NA;NA;NA;NA;57.954.522,4217;64.397.131,0846;66.225.403,5588;65.186.666,6667;70.106.666,6667;84933333,33;99219082,85;119335897,8;161236465,8;196771070,9;227404436;270470345,4;347798304,6;397833034,9;448568492,7;493014300;456244919;444047495,3;486605127,7;426008864,7;459307281,2;688914288,9;886508622,3;968576956,9;871935350,4;960805408,9;909253214,8;912670413,3;760957189,8;758739178,6;901404709,8;989536914,7;933763083,4;1104744235;1127684827;1067109531;1160268212;1275093689;1501941581;1724770771;1759739599;2017680835;2339015313;2489873250;2296065170;2331796784;2505740669;2427200389;2690110521;2914012679;2573905971;2813278869;2980057378;3188600927;3266432734;3271813312;3664686797;3.566.698.397,6602;3.907.323.961,3396;NA
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;