"Country or Area","Year(s)","Variant","Value"
"Denmark","2024","Medium","3.3624"
"Denmark","2023","Medium","3.402"
"Denmark","2022","Medium","3.5821"
"Denmark","2021","Medium","3.7195"
"Denmark","2020","Medium","3.4959"
"Denmark","2019","Medium","3.3849"
"Denmark","2018","Medium","4.0917"
"Denmark","2017","Medium","4.3176"
"Denmark","2016","Medium","3.7707"
"Denmark","2015","Medium","4.081"
"Denmark","2014","Medium","4.565"
"Denmark","2013","Medium","4.0637"
"Denmark","2012","Medium","3.9231"
"Denmark","2011","Medium","3.9807"
"Denmark","2010","Medium","3.8882"
"Denmark","2009","Medium","3.6581"
"Denmark","2008","Medium","4.6824"
"Denmark","2007","Medium","4.74"
"Denmark","2006","Medium","4.4618"
"Denmark","2005","Medium","5.0694"
"Denmark","2004","Medium","5.2569"
"Denmark","2003","Medium","5.4333"
"Denmark","2002","Medium","5.3779"
"Denmark","2001","Medium","5.8229"
"Denmark","2000","Medium","6.1712"
"Denmark","1999","Medium","5.1117"
"Denmark","1998","Medium","5.933"
"Denmark","1997","Medium","6.2683"
"Denmark","1996","Medium","6.6985"
"Denmark","1995","Medium","6.2329"
"Denmark","1994","Medium","6.9296"
"Denmark","1993","Medium","6.6254"
"Denmark","1992","Medium","8.0235"
"Denmark","1991","Medium","8.8237"
"Denmark","1990","Medium","9.1231"
"Denmark","1989","Medium","9.9105"
"Denmark","1988","Medium","9.5202"
"Denmark","1987","Medium","10.3498"
"Denmark","1986","Medium","9.7526"
"Denmark","1985","Medium","9.6284"
"Denmark","1984","Medium","9.4396"
"Denmark","1983","Medium","9.4557"
"Denmark","1982","Medium","9.7479"
"Denmark","1981","Medium","9.52"
"Denmark","1980","Medium","10.2076"
"Denmark","1979","Medium","10.7762"
"Denmark","1978","Medium","10.5554"
"Denmark","1977","Medium","10.5353"
"Denmark","1976","Medium","11.854"
"Denmark","1975","Medium","12.6616"
"Denmark","1974","Medium","12.8372"
"Denmark","1973","Medium","13.4714"
"Denmark","1972","Medium","14.6055"
"Denmark","1971","Medium","16.5967"
"Denmark","1970","Medium","17.0082"
"Denmark","1969","Medium","17.324"
"Denmark","1968","Medium","18.6694"
"Denmark","1967","Medium","17.7553"
"Denmark","1966","Medium","20.241"
"Denmark","1965","Medium","22.3812"
"Denmark","1964","Medium","21.915"
"Denmark","1963","Medium","23.2828"
"Denmark","1962","Medium","23.3524"
"Denmark","1961","Medium","25.3806"
"Denmark","1960","Medium","25.6548"
"Denmark","1959","Medium","25.9448"
"Denmark","1958","Medium","25.3946"
"Denmark","1957","Medium","27.477"
"Denmark","1956","Medium","28.4813"
"Denmark","1955","Medium","29.1332"
"Denmark","1954","Medium","31.2277"
"Denmark","1953","Medium","31.7193"
"Denmark","1952","Medium","34.891"
"Denmark","1951","Medium","33.0737"
"Denmark","1950","Medium","35.736"
"Faroe Islands","2024","Medium","7.0073"
"Faroe Islands","2023","Medium","7.7093"
"Faroe Islands","2022","Medium","7.9142"
"Faroe Islands","2021","Medium","7.8872"
"Faroe Islands","2020","Medium","7.894"
"Faroe Islands","2019","Medium","7.9499"
"Faroe Islands","2018","Medium","8.0153"
"Faroe Islands","2017","Medium","8.0901"
"Faroe Islands","2016","Medium","8.1675"
"Faroe Islands","2015","Medium","8.2459"
"Faroe Islands","2014","Medium","8.3315"
"Faroe Islands","2013","Medium","8.4148"
"Faroe Islands","2012","Medium","8.4859"
"Faroe Islands","2011","Medium","8.5435"
"Faroe Islands","2010","Medium","8.5931"
"Faroe Islands","2009","Medium","8.6206"
"Faroe Islands","2008","Medium","8.649"
"Faroe Islands","2007","Medium","8.7015"
"Faroe Islands","2006","Medium","8.7682"
"Faroe Islands","2005","Medium","8.8558"
"Faroe Islands","2004","Medium","8.9651"
"Faroe Islands","2003","Medium","9.1082"
"Faroe Islands","2002","Medium","9.2757"
"Faroe Islands","2001","Medium","9.4628"
"Faroe Islands","2000","Medium","9.6684"
"Faroe Islands","1999","Medium","9.8707"
"Faroe Islands","1998","Medium","10.0635"
"Faroe Islands","1997","Medium","10.224"
"Faroe Islands","1996","Medium","10.3781"
"Faroe Islands","1995","Medium","10.4963"
"Faroe Islands","1994","Medium","10.6292"
"Faroe Islands","1993","Medium","10.7958"
"Faroe Islands","1992","Medium","10.9999"
"Faroe Islands","1991","Medium","11.2705"
"Faroe Islands","1990","Medium","11.5868"
"Faroe Islands","1989","Medium","11.911"
"Faroe Islands","1988","Medium","12.2404"
"Faroe Islands","1987","Medium","12.5393"
"Faroe Islands","1986","Medium","12.7791"
"Faroe Islands","1985","Medium","12.9584"
"Faroe Islands","1984","Medium","13.106"
"Faroe Islands","1983","Medium","13.2137"
"Faroe Islands","1982","Medium","13.345"
"Faroe Islands","1981","Medium","13.5136"
"Faroe Islands","1980","Medium","13.7385"
"Faroe Islands","1979","Medium","13.9698"
"Faroe Islands","1978","Medium","14.2068"
"Faroe Islands","1977","Medium","14.4988"
"Faroe Islands","1976","Medium","14.8528"
"Faroe Islands","1975","Medium","15.2524"
"Faroe Islands","1974","Medium","15.7708"
"Faroe Islands","1973","Medium","16.3776"
"Faroe Islands","1972","Medium","17.0736"
"Faroe Islands","1971","Medium","17.8102"
"Faroe Islands","1970","Medium","18.595"
"Faroe Islands","1969","Medium","19.3733"
"Faroe Islands","1968","Medium","20.1634"
"Faroe Islands","1967","Medium","21.0063"
"Faroe Islands","1966","Medium","21.9343"
"Faroe Islands","1965","Medium","23.0161"
"Faroe Islands","1964","Medium","24.2976"
"Faroe Islands","1963","Medium","25.8627"
"Faroe Islands","1962","Medium","27.8085"
"Faroe Islands","1961","Medium","30.2247"
"Faroe Islands","1960","Medium","33.1614"
"Faroe Islands","1959","Medium","36.684"
"Faroe Islands","1958","Medium","40.8933"
"Faroe Islands","1957","Medium","45.7067"
"Faroe Islands","1956","Medium","51.1245"
"Faroe Islands","1955","Medium","56.9549"
"Faroe Islands","1954","Medium","63.1372"
"Faroe Islands","1953","Medium","69.5051"
"Faroe Islands","1952","Medium","76.1378"
"Faroe Islands","1951","Medium","83.0538"
"Faroe Islands","1950","Medium","90.6322"
"Greenland","2024","Medium","11.3563"
"Greenland","2023","Medium","11.6787"
"Greenland","2022","Medium","11.5695"
"Greenland","2021","Medium","11.4613"
"Greenland","2020","Medium","11.3578"
"Greenland","2019","Medium","11.2614"
"Greenland","2018","Medium","11.1774"
"Greenland","2017","Medium","11.1132"
"Greenland","2016","Medium","11.0757"
"Greenland","2015","Medium","11.0773"
"Greenland","2014","Medium","11.1247"
"Greenland","2013","Medium","11.2253"
"Greenland","2012","Medium","11.3922"
"Greenland","2011","Medium","11.6251"
"Greenland","2010","Medium","11.9335"
"Greenland","2009","Medium","12.3137"
"Greenland","2008","Medium","12.7783"
"Greenland","2007","Medium","13.3218"
"Greenland","2006","Medium","13.9616"
"Greenland","2005","Medium","14.7108"
"Greenland","2004","Medium","15.5874"
"Greenland","2003","Medium","16.6083"
"Greenland","2002","Medium","17.8046"
"Greenland","2001","Medium","19.1771"
"Greenland","2000","Medium","20.7216"
"Greenland","1999","Medium","22.386"
"Greenland","1998","Medium","24.1543"
"Greenland","1997","Medium","25.9467"
"Greenland","1996","Medium","27.6786"
"Greenland","1995","Medium","29.2898"
"Greenland","1994","Medium","30.7423"
"Greenland","1993","Medium","31.9992"
"Greenland","1992","Medium","33.1244"
"Greenland","1991","Medium","34.1129"
"Greenland","1990","Medium","35.01"
"Greenland","1989","Medium","35.89"
"Greenland","1988","Medium","36.7845"
"Greenland","1987","Medium","37.715"
"Greenland","1986","Medium","38.6959"
"Greenland","1985","Medium","39.7638"
"Greenland","1984","Medium","40.8712"
"Greenland","1983","Medium","42.012"
"Greenland","1982","Medium","43.148"
"Greenland","1981","Medium","44.2296"
"Greenland","1980","Medium","45.1973"
"Greenland","1979","Medium","46.0394"
"Greenland","1978","Medium","46.7648"
"Greenland","1977","Medium","47.3581"
"Greenland","1976","Medium","47.9589"
"Greenland","1975","Medium","48.6854"
"Greenland","1974","Medium","49.6667"
"Greenland","1973","Medium","51.0293"
"Greenland","1972","Medium","52.9764"
"Greenland","1971","Medium","55.4632"
"Greenland","1970","Medium","58.52"
"Greenland","1969","Medium","62.0573"
"Greenland","1968","Medium","65.9857"
"Greenland","1967","Medium","70.0165"
"Greenland","1966","Medium","74.2007"
"Greenland","1965","Medium","78.2021"
"Greenland","1964","Medium","82.0205"
"Greenland","1963","Medium","85.728"
"Greenland","1962","Medium","89.4414"
"Greenland","1961","Medium","93.4635"
"Greenland","1960","Medium","97.9236"
"Greenland","1959","Medium","103.1678"
"Greenland","1958","Medium","109.4309"
"Greenland","1957","Medium","116.816"
"Greenland","1956","Medium","125.5693"
"Greenland","1955","Medium","135.6104"
"Greenland","1954","Medium","146.875"
"Greenland","1953","Medium","159.2391"
"Greenland","1952","Medium","172.6425"
"Greenland","1951","Medium","187.3255"
"Greenland","1950","Medium","202.393"
"Iceland","2024","Medium","1.6259"
"Iceland","2023","Medium","1.5662"
"Iceland","2022","Medium","1.6184"
"Iceland","2021","Medium","4.3469"
"Iceland","2020","Medium","3.3758"
"Iceland","2019","Medium","1.7768"
"Iceland","2018","Medium","2.7805"
"Iceland","2017","Medium","3.7426"
"Iceland","2016","Medium","2.1101"
"Iceland","2015","Medium","3.2578"
"Iceland","2014","Medium","2.6816"
"Iceland","2013","Medium","2.7956"
"Iceland","2012","Medium","1.9447"
"Iceland","2011","Medium","1.7299"
"Iceland","2010","Medium","3.4217"
"Iceland","2009","Medium","2.6414"
"Iceland","2008","Medium","3.8009"
"Iceland","2007","Medium","3.5312"
"Iceland","2006","Medium","2.5572"
"Iceland","2005","Medium","3.4319"
"Iceland","2004","Medium","3.4242"
"Iceland","2003","Medium","3.3126"
"Iceland","2002","Medium","3.8338"
"Iceland","2001","Medium","3.566"
"Iceland","2000","Medium","4.2325"
"Iceland","1999","Medium","2.7808"
"Iceland","1998","Medium","4.8971"
"Iceland","1997","Medium","6.066"
"Iceland","1996","Medium","4.8698"
"Iceland","1995","Medium","9.265"
"Iceland","1994","Medium","4.0947"
"Iceland","1993","Medium","5.6162"
"Iceland","1992","Medium","6.6563"
"Iceland","1991","Medium","6.9232"
"Iceland","1990","Medium","7.1053"
"Iceland","1989","Medium","6.4947"
"Iceland","1988","Medium","8.1952"
"Iceland","1987","Medium","8.5882"
"Iceland","1986","Medium","4.0264"
"Iceland","1985","Medium","7.8741"
"Iceland","1984","Medium","6.4664"
"Iceland","1983","Medium","7.3192"
"Iceland","1982","Medium","8.438"
"Iceland","1981","Medium","7.7188"
"Iceland","1980","Medium","9.8944"
"Iceland","1979","Medium","8.021"
"Iceland","1978","Medium","14.2206"
"Iceland","1977","Medium","12.2136"
"Iceland","1976","Medium","10.3634"
"Iceland","1975","Medium","17.2345"
"Iceland","1974","Medium","14.6676"
"Iceland","1973","Medium","12.9632"
"Iceland","1972","Medium","14.2287"
"Iceland","1971","Medium","17.2849"
"Iceland","1970","Medium","15.6673"
"Iceland","1969","Medium","14.4833"
"Iceland","1968","Medium","17.0653"
"Iceland","1967","Medium","15.9377"
"Iceland","1966","Medium","17.4326"
"Iceland","1965","Medium","20.5523"
"Iceland","1964","Medium","21.7798"
"Iceland","1963","Medium","22.4825"
"Iceland","1962","Medium","21.8973"
"Iceland","1961","Medium","22.3797"
"Iceland","1960","Medium","18.1827"
"Iceland","1959","Medium","19.0289"
"Iceland","1958","Medium","23.7883"
"Iceland","1957","Medium","20.093"
"Iceland","1956","Medium","23.1216"
"Iceland","1955","Medium","26.528"
"Iceland","1954","Medium","23.8842"
"Iceland","1953","Medium","24.0797"
"Iceland","1952","Medium","26.1911"
"Iceland","1951","Medium","32.5295"
"Iceland","1950","Medium","27.4313"
"Norway","2024","Medium","2.1115"
"Norway","2023","Medium","2.3599"
"Norway","2022","Medium","2.2722"
"Norway","2021","Medium","2.2094"
"Norway","2020","Medium","2.0755"
"Norway","2019","Medium","2.5547"
"Norway","2018","Medium","2.5394"
"Norway","2017","Medium","2.7781"
"Norway","2016","Medium","2.555"
"Norway","2015","Medium","2.8504"
"Norway","2014","Medium","2.8827"
"Norway","2013","Medium","2.9364"
"Norway","2012","Medium","3.0186"
"Norway","2011","Medium","2.865"
"Norway","2010","Medium","3.2647"
"Norway","2009","Medium","3.7391"
"Norway","2008","Medium","3.4044"
"Norway","2007","Medium","3.6978"
"Norway","2006","Medium","3.915"
"Norway","2005","Medium","3.9044"
"Norway","2004","Medium","4.0364"
"Norway","2003","Medium","4.4479"
"Norway","2002","Medium","4.5716"
"Norway","2001","Medium","4.7257"
"Norway","2000","Medium","4.8152"
"Norway","1999","Medium","5.2878"
"Norway","1998","Medium","4.9063"
"Norway","1997","Medium","5.2679"
"Norway","1996","Medium","5.1831"
"Norway","1995","Medium","5.1024"
"Norway","1994","Medium","6.3649"
"Norway","1993","Medium","6.4942"
"Norway","1992","Medium","7.2468"
"Norway","1991","Medium","7.8397"
"Norway","1990","Medium","8.5422"
"Norway","1989","Medium","9.5843"
"Norway","1988","Medium","9.9788"
"Norway","1987","Medium","10.2458"
"Norway","1986","Medium","9.5856"
"Norway","1985","Medium","10.4212"
"Norway","1984","Medium","10.4313"
"Norway","1983","Medium","9.6932"
"Norway","1982","Medium","10.1124"
"Norway","1981","Medium","9.3649"
"Norway","1980","Medium","9.7413"
"Norway","1979","Medium","10.5242"
"Norway","1978","Medium","10.9657"
"Norway","1977","Medium","10.8673"
"Norway","1976","Medium","12.8259"
"Norway","1975","Medium","13.3054"
"Norway","1974","Medium","12.9895"
"Norway","1973","Medium","14.339"
"Norway","1972","Medium","14.4474"
"Norway","1971","Medium","15.8416"
"Norway","1970","Medium","15.537"
"Norway","1969","Medium","16.8064"
"Norway","1968","Medium","16.819"
"Norway","1967","Medium","17.6466"
"Norway","1966","Medium","17.6539"
"Norway","1965","Medium","20.0487"
"Norway","1964","Medium","21.0126"
"Norway","1963","Medium","20.8806"
"Norway","1962","Medium","21.4681"
"Norway","1961","Medium","21.772"
"Norway","1960","Medium","23.0552"
"Norway","1959","Medium","22.4318"
"Norway","1958","Medium","24.3264"
"Norway","1957","Medium","24.6321"
"Norway","1956","Medium","25.9323"
"Norway","1955","Medium","25.7921"
"Norway","1954","Medium","25.7425"
"Norway","1953","Medium","27.0351"
"Norway","1952","Medium","30.0004"
"Norway","1951","Medium","31.4177"
"Norway","1950","Medium","34.0743"

